Current: 118 mg/dL (6.6 mmol/L) →  at 2026-05-10T08:14:00

Last 12h — 144 readings

Time                 mg/dL  mmol/L  Range
───────────────────  ─────  ──────  ─────
2026-05-09T20:14:00  104    5.8     ok
2026-05-09T20:29:00  108    6.0     ok
2026-05-09T20:44:00  115    6.4     ok
2026-05-09T20:59:00  124    6.9     ok
2026-05-09T21:14:00  138    7.7     ok
2026-05-09T21:29:00  152    8.4     ok
2026-05-09T21:44:00  161    8.9     ok
2026-05-09T21:59:00  158    8.8     ok
2026-05-09T22:14:00  144    8.0     ok
2026-05-09T22:29:00  131    7.3     ok
2026-05-09T22:44:00  118    6.6     ok
2026-05-09T22:59:00  108    6.0     ok
2026-05-09T23:14:00  101    5.6     ok
…
2026-05-10T08:14:00  118    6.6     ok
